ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-01,26.1,26.149986267664108,26.136410927445535,26.125658586808015,25.944247431742085,25.937959520155765,25.953247982073353,26.159407905970177,26.16442209768827,26.18270528719504,26.813552197811465,26.197575672373652
2021-07-02,26.5,26.112425557192104,26.12668930753554,26.122663778855863,26.150031547106735,26.13622553174505,26.12557658113426,26.107176695618357,26.111202184819653,26.133599923620256,26.661388966970406,26.177955805686118
2021-07-05,26.17,26.444695085087425,26.461414018625508,26.466376548133432,26.112627524615576,26.12712236601452,26.123127865865673,26.452508791989445,26.461583594198203,26.457830677245003,26.778313597656116,26.548297758874323
2021-07-07,26.13,26.21583481878189,26.229727751137336,26.22358433604853,26.44454871768362,26.461074692810282,26.4658365502674,26.204284312418913,26.209328324640342,26.20848579535704,26.67056564276753,26.312474564785163
2021-07-08,25.99,26.135549232737684,26.115575323259463,26.106687189827394,26.21585256573996,26.229501500256,26.22335868803714,26.13901273210539,26.143212582088655,26.127822754994707,26.604024220621707,26.17877184295692
2021-07-09,26.23,26.009417640041725,25.98347192815661,25.97552084831772,26.135559607066053,26.115282114109018,26.106393374307608,26.008071958381578,26.0103734218573,26.03120452924179,26.690611447780586,26.104601056602696
2021-07-12,26.24,26.19667007426783,26.20474014006665,26.213254703864465,26.009535453833166,25.983512877904825,25.97585969778074,26.203047251666543,26.208301917301473,26.230939655914298,26.881942655721005,26.447791311646586
2021-07-13,26.14,26.238611849586285,26.261693637623438,26.27012022087807,26.196795134351213,26.204694612563948,26.213270554386813,26.235513875147394,26.241033523524425,26.23980625172279,26.841507669665997,26.3761044131694
2021-07-14,26.27,26.153882072775446,26.155499482056385,26.160821497466046,26.238676766935583,26.261489179616824,26.269968347466996,26.15160051396147,26.155782684467116,26.15536133968613,26.837262905307757,26.290339850802308
2021-07-15,26.39,26.25194464234245,26.23316149656862,26.22290537478748,26.15401983287646,26.155495379407213,26.160876995337116,26.255614044236626,26.261329120749863,26.243725419854407,26.799074368195498,26.377030720508344
2021-07-16,25.8,26.37334586735146,26.388448573928166,26.379603357712945,26.2521834991017,26.233179580868615,26.223094668040467,26.37368169510487,26.380970808078562,26.39750646152902,26.826412521193298,26.50298005417639
2021-07-19,25.14,25.882115658090715,25.896392577696393,25.898000220927937,26.373031824412802,26.387713303743205,26.378936009452506,25.869901123375524,25.869661842292423,25.89829158716754,27.147010320889688,26.32215231942128
2021-07-20,25.0,25.23020384611239,25.158992336707836,25.173591722854837,25.880186397163108,25.893882426022177,25.89565649166036,25.22732517148836,25.218074755935998,25.23152467205444,27.075556232684956,25.473314705497202
2021-07-21,25.26,25.0190126813686,24.939525160806056,24.960997996978627,25.229085136488187,25.157276975380977,25.17193737152479,25.026946349083495,25.015249215940717,25.031285268639667,27.18246262061465,25.29861176799497
2021-07-22,25.38,25.224640642966204,25.240556325790813,25.277355524707893,25.018528061413356,24.940681014249556,24.962121423735653,25.232212231182906,25.223948619078186,25.22091972206515,27.17286030410831,25.535774818169624
2021-07-23,25.23,25.36370796153945,25.411004924359478,25.458524094579047,25.224204651478754,25.24030788353505,25.27739624422382,25.36239413136531,25.35613539621442,25.383694444909118,27.16445665136453,25.671745114931632
2021-07-26,25.32,25.250378788075412,25.247746259201687,25.27223091953565,25.363127458033055,25.40956370080637,25.456814587574044,25.24578772426809,25.237739258220927,25.270578818321084,27.36172184353342,25.809243216912307
2021-07-27,24.65,25.307767361802657,25.28163158895531,25.267677637268648,25.24981289923669,25.247134199022142,25.271588864455556,25.31114651203061,25.304250000923854,25.313953251559372,27.276609490453573,25.605204902624035
