ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-05,1794.2,1783.3,1783.6855817385795,1783.1890377187767,1777.2514189284661,1777.9937866384864,1777.1708802778749,1783.1954473431801,1782.292258067951,1780.2249392117258,1808.1597103659478,1786.3286153921474
2021-07-06,1795.0,1794.2,1794.2951053766765,1794.0170639514413,1783.759949428688,1784.2295758530895,1783.6590644537955,1794.028314699196,1793.3381143689485,1793.1146811852366,1805.8433116602916,1795.4359456018424
2021-07-07,1802.1,1795.0,1795.1572772173379,1794.9866079643039,1794.662925287357,1794.8238128585,1794.4888086982744,1794.9848841393791,1794.468193058005,1795.6810318553585,1803.6601987505355,1796.0351987087386
2021-07-08,1800.2,1802.1,1801.9942963116707,1801.9813080851882,1795.470601020421,1795.7030086783125,1795.465608924109,1801.9894807717476,1801.5690984904218,1798.5069279409372,1804.4072874061756,1802.5545832489186
2021-07-09,1810.6,1800.2,1800.2615826659123,1800.231859294745,1802.5712286706246,1802.5271685831965,1802.4607616806838,1800.2278762242838,1799.8955057427197,1801.9779729199197,1803.6105364075283,1800.6218531826864
2021-07-12,1805.9,1810.6,1810.2703125983828,1810.4247882832392,1800.682306824382,1800.821776739623,1800.7229501289614,1810.4377214623112,1810.1910589793047,1808.5392530842166,1811.3744762201882,1814.4530304714142
2021-07-13,1809.9,1805.9,1805.9085261314167,1805.9800712919334,1811.0795828283992,1810.8082370542231,1810.9113630813688,1805.9717628428257,1805.8230900595322,1806.2578736246778,1809.0304783478086,1807.5330766183645
2021-07-14,1825.0,1809.9,1809.658139686263,1809.8315579576788,1806.3842644737501,1806.4633359566412,1806.4736957683847,1809.8376038482686,1809.6756069415367,1811.1177895018172,1812.600822090705,1811.7799166571428
2021-07-15,1829.0,1825.0,1824.4147977047046,1824.7453132855117,1810.399032021956,1810.235699968065,1810.3405868707814,1824.762467887812,1824.7985651182541,1821.9635912395163,1815.0263147663666,1825.606719350156
2021-07-16,1815.0,1829.0,1828.5125923358064,1828.9335651790225,1825.5048699901884,1824.9974200835936,1825.263131839759,1828.9346876568675,1829.1561102586018,1830.7929412767623,1819.4599444460546,1829.6615200273363
2021-07-19,1809.2,1815.0,1814.9735606999582,1815.2356548760001,1829.4882501920508,1829.0408432435534,1829.4301713035936,1815.2181836229086,1815.4175329756167,1814.0579596442185,1829.335105314397,1825.295666185006
2021-07-20,1811.4,1809.2,1809.1942994595765,1809.2956622060483,1815.483090655397,1815.5171709076462,1815.7228830620825,1809.2922962880025,1809.5544056215513,1809.8175616757217,1830.635143927936,1814.5486137169844
2021-07-21,1803.4,1811.4,1811.3220745557196,1811.3636065794321,1809.6827638387051,1809.7445515249563,1809.787530791976,1811.367553944527,1811.258688251995,1812.4393604052532,1834.18798965765,1817.1585600782337
2021-07-22,1805.4,1803.4,1803.6095026803796,1803.5329020754377,1811.8741486016356,1811.862861922106,1811.8464611646182,1803.5231452241162,1803.3680940158706,1800.4591071482064,1835.238871139507,1810.1848049959208
