ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-02,1087.7,1065.378480959426,1054.1,1054.5740506896548,1037.4898538513628,1039.093703609353,1038.9055162497893,1054.0999997764825,1002.7717130475446,1016.3149197214468,1199.6472891541148,1130.008578379712
2021-07-05,1101.9,1082.7722960806386,1072.9,1073.514543311536,1054.0164013074975,1054.0954659178683,1054.5688737984344,1072.8999997198584,1032.5546993010996,1038.6233255529467,1206.6360256247558,1144.3516352267006
2021-07-06,1084.0,1090.4106714781874,1089.5,1090.062340047805,1071.5902365753784,1072.8973796888467,1073.511833241206,1089.4999997526406,1058.3227879282497,1060.8064469594397,1206.7847747379924,1155.2591997526104
2021-07-07,1081.9,1094.7366569927085,1096.1,1096.3261997237885,1092.6255133826828,1089.4981066277835,1090.0465491665104,1096.0999999016522,1069.1675448118674,1071.4659392586352,1209.417356167376,1161.8729863768756
2021-07-08,1074.5,1103.8510034310323,1105.7,1106.0313641956384,1099.0564152140687,1096.0996338749558,1096.3181988752783,1105.699999856949,1084.1153347290742,1086.0396028806829,1206.9501660734816,1165.14649414958
2021-07-09,1095.7,1111.6177436573591,1114.7,1115.0136149673444,1108.689970591567,1105.7015174333035,1106.023076154319,1114.6999998658896,1097.9455289564407,1098.8343149983514,1208.581130364894,1170.8529469017099
2021-07-11,1096.0,1083.8649155270807,1099.2,1098.6685873180688,1118.1115114051534,1114.697429167591,1114.993926958535,1099.200000230968,1076.4664140789807,1078.1172492684284,1209.8714461049008,1164.9905937261824
2021-07-12,1123.0,1054.313780979108,1070.6,1069.570301113963,1101.1312384773364,1099.1905790242,1098.6500015169127,1070.600000426173,1036.4344267408424,1041.29223619688,1212.9579386321748,1151.3078551550466
2021-07-13,1111.2,1061.6129624573687,1072.9,1072.9819544911854,1070.3961656048634,1070.5897238600362,1069.6040511081762,1072.8999999657276,1041.2371834352093,1043.3583497123652,1211.5868113897718,1154.519217694651
2021-07-14,1128.1,1076.3532112123157,1080.9,1081.1856324753385,1070.894038751121,1072.8907960892575,1072.9684610274433,1080.8999998807908,1054.0914022712236,1055.969711806026,1216.5917853760682,1164.0264152082557
2021-07-15,1137.7,1090.309704110985,1087.7,1087.944185098105,1077.6009241057056,1080.8920878638357,1081.1677549339777,1087.699999898672,1064.9872033124557,1066.0779005564514,1217.0033495601108,1167.4151589404266
2021-07-16,1108.5,1110.8535358434708,1101.9,1102.415228726342,1083.946478878573,1087.6973983586154,1087.9338330386026,1101.8999997884036,1086.293246427313,1085.7872961995497,1216.6774309098034,1173.2376732578482
2021-07-18,1104.2,1095.4515762440476,1084.0,1083.3689226329616,1098.5996660991232,1101.8902978908125,1102.371905540178,1084.0000002667307,1061.355405065436,1062.5764148474225,1225.7377285968018,1169.3942320261674
2021-07-19,1071.4,1094.760952433827,1081.9,1081.825742995363,1081.421901621549,1083.9886683856605,1083.3755838179702,1081.9000000312926,1059.3262443459246,1060.3431376949386,1223.195383021887,1167.7164861248082
2021-07-20,1065.2,1086.6550881507767,1074.5,1074.2378858131972,1080.4172262160578,1081.8845528331472,1081.811017747577,1074.5000001102685,1049.7100685053836,1050.7689489644024,1226.9130108909508,1167.8829104578554
2021-07-21,1075.3,1104.6296412183945,1095.7,1096.437711768222,1074.6544850393768,1074.4976067049208,1074.2473364900052,1095.6999996840955,1081.0997956630129,1080.423587685714,1230.4993321600216,1183.1476638391641
2021-07-22,1090.6,1099.835073162671,1096.0,1096.0104290331617,1097.377387230293,1095.698124388346,1096.4086964797084,1095.9999999955296,1082.1568647795552,1081.4797766612185,1227.1837258768073,1177.8211037736253
