ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-05,,1780.7,1784.1974068465477,1780.6525039765206,1778.2519707230488,1779.3815185834435,1778.2416760722376,1780.6548640635147,1775.8511706124584,1770.761883854123,1820.6628963575934,1798.2540682310323
2021-07-06,,1763.6,1768.087711630567,1763.8833599435925,1781.1429887207191,1782.077233662466,1781.1022151955167,1763.8672229895376,1759.1311945631176,1754.213854493845,1809.7783484534255,1783.0423059843274
2021-07-07,,1771.6,1774.7797241799674,1771.4633282459222,1764.0449668507686,1765.4539531472321,1764.3503833008722,1771.4751633747812,1765.8047437516607,1760.1855257690397,1809.417591815088,1787.8809332506332
2021-07-08,,1776.8,1779.3123910229513,1776.7120270908083,1772.0470514177402,1772.844269376436,1771.9175889099831,1776.7147524305071,1771.8072195330199,1768.5378813078855,1806.3378380818865,1789.4839627170252
2021-07-09,,1783.3,1784.9719141592552,1783.1909001748438,1777.2514189284661,1777.9937866384864,1777.1708802778749,1783.1954473431801,1779.1354079415414,1776.8024986801959,1808.5447509028731,1795.0479666674057
2021-07-12,,1794.2,1794.8010446311869,1794.0200835118771,1783.759949428688,1784.2295758530895,1783.6590644537955,1794.028314699196,1791.251456636976,1789.0390230451073,1810.2550258765903,1803.809472772187
2021-07-13,,1795.0,1795.5300984427045,1794.986828456512,1794.662925287357,1794.8238128585,1794.4888086982744,1794.9848841393791,1792.5308950764306,1791.2307172713215,1809.2416434591735,1804.5203322684877
2021-07-14,,1802.1,1801.93367574992,1801.983259653382,1795.470601020421,1795.7030086783125,1795.465608924109,1801.9894807717476,1800.3176989597664,1798.722846424723,1811.6575631936967,1810.5115673728503
2021-07-15,,1800.2,1800.2837192992283,1800.2313338866138,1802.5712286706246,1802.5271685831965,1802.4607616806838,1800.2278762242838,1798.5210603146938,1797.7510110791488,1812.6643140129434,1810.8129046961276
2021-07-16,,1810.6,1809.7136438285804,1810.4276912173873,1800.682306824382,1800.821776739623,1800.7229501289614,1810.4377214623112,1809.7786656687845,1809.0764408427083,1818.8272677934312,1820.7128027847189
2021-07-19,,1805.9,1805.6306243759848,1805.978730012513,1811.0795828283992,1810.8082370542231,1810.9113630813688,1805.9717628428257,1805.0250435571693,1804.4912504856977,1823.9616825732617,1823.0307785645548
2021-07-20,,1809.9,1809.2196366131964,1809.8327093352102,1806.3842644737501,1806.4633359566412,1806.4736957683847,1809.8376038482686,1809.2439672723074,1808.7199948494842,1829.1476417945853,1828.6422317681108
2021-07-21,,1825.0,1823.1094269660741,1824.7495377492532,1810.399032021956,1810.235699968065,1810.3405868707814,1824.762467887812,1825.7441847979528,1826.050456981604,1832.9977690514993,1839.5334338521864
2021-07-22,,1829.0,1827.0818283018427,1828.9346505487129,1825.5048699901884,1824.9974200835936,1825.263131839759,1828.9346876568675,1830.4482749311003,1830.7705558970215,1839.418221018178,1845.6973855712934
2021-07-23,,1815.0,1814.491356073176,1815.2317538811662,1829.4882501920508,1829.0408432435534,1829.4301713035936,1815.2181836229086,1815.4635776198256,1815.6016179972767,1842.811839152254,1840.3244536944283
2021-07-26,,1809.2,1809.168901175832,1809.294110004333,1815.483090655397,1815.5171709076462,1815.7228830620825,1809.2922962880025,1810.5853893617227,1808.5160419452034,1852.7687633654116,1842.8329404166789
2021-07-27,,1811.4,1811.1662007899008,1811.3641988191291,1809.6827638387051,1809.7445515249563,1809.787530791976,1811.367553944527,1810.939217620734,1810.9353857869205,1856.5251737107183,1846.0448954468013
2021-07-28,,1803.4,1803.9509708307694,1803.5307302848335,1811.8741486016356,1811.862861922106,1811.8464611646182,1803.5231452241162,1802.3423342791243,1801.2068198613683,1857.503199000679,1841.994688304209
2021-07-29,,1805.4,1805.6375560615786,1805.3672014805172,1803.8730673308742,1804.149871258203,1804.0151717384163,1805.3708937156841,1804.2891482028797,1803.6581094878775,1858.2411870858873,1843.1752406369683
2021-07-30,,1801.8,1802.3902266559933,1801.8591370334962,1805.8672317873925,1805.9531712347557,1805.842522517041,1801.8554731964573,1800.5291308450585,1799.8450243027316,1860.4065195492378,1842.024467613419
2021-08-02,,1799.2,1799.9229734066748,1799.2426135266148,1802.2615273343831,1802.5240439798015,1802.3300546694288,1799.241157683005,1797.5699904476132,1796.4089888579808,1866.1883166662017,1841.488909442283
2021-08-03,,1799.8,1800.3889113458251,1799.790162728786,1799.659045475296,1799.9140937055704,1799.7108012494964,1799.7913350806477,1798.174104426878,1797.8199660163548,1865.5747686761338,1840.7622676863766
2021-08-04,,1799.7,1800.241451559668,1799.701639568001,1800.256297635496,1800.4684455717288,1800.2546748481702,1799.7014162151752,1798.119519059182,1797.2812305339962,1865.856687491783,1840.0711864474183
2021-08-05,,1835.8,1832.9108822251692,1835.2076132732566,1800.231939799912,1800.447601223605,1800.2429365851342,1835.239860324131,1837.2775908857532,1838.6652232724775,1867.3393940589006,1860.0669701773531
2021-08-06,,1817.2,1816.6678646274606,1817.5517318730242,1836.326097674589,1835.2974176728842,1835.6413924367575,1817.5219507051083,1818.3724666983962,1818.976672072435,1866.9345514339284,1848.7726115417822
2021-08-09,,1822.2,1820.9385448561934,1822.1038145462485,1817.7272794892308,1817.9825747994903,1818.1033593352959,1822.1147994180992,1822.9924109787248,1823.4905270009583,1868.3282235125307,1848.9511607619395
2021-08-10,,1814.1,1813.9283365550928,1814.2570482784715,1822.723981233849,1822.2840339072952,1822.636420955501,1814.2471592206593,1814.4836411767553,1814.579923519751,1868.5055704093904,1843.8664649041805
2021-08-11,,1814.5,1814.1500786535605,1814.492241527525,1814.6233475335553,1814.803764707455,1814.7947915024904,1814.495356485804,1814.5766519574747,1814.4988674318215,1863.7146791830955,1840.430414756319
2021-08-12,,1808.9,1809.1914169739168,1809.0086669895334,1815.0191288059486,1814.9329109548507,1815.0223973040552,1809.0027971188524,1810.1962702523554,1808.3920760104277,1861.716866564671,1835.5908511125135
2021-08-13,,1763.1,1767.646576556089,1763.9441374876606,1809.401705998565,1809.6194289661628,1809.5173651869072,1763.8996885414765,1758.7096801811635,1755.9885011463955,1856.4622396455193,1806.4378789705831
2021-08-16,,1726.5,1733.28669480875,1726.9337432971934,1763.5986053741858,1764.9747363072124,1764.1546952314861,1726.9128035542728,1717.7194247302723,1714.6952836513685,1846.7942727511058,1777.8292158225315
2021-08-17,,1731.7,1737.2995524489672,1731.6348968697102,1726.9963803282678,1728.939268882109,1727.467508155186,1731.6438962170475,1724.0385025848354,1722.1043785380032,1842.6076236345573,1778.6835447929045
2021-08-18,,1753.3,1753.645565736325,1753.0389109562072,1732.200313854089,1732.6632056262406,1732.143492898104,1753.05232658398,1746.1331856975198,1745.3009789900057,1835.324060357256,1787.0402933259536
2021-08-19,,1751.8,1752.3874004663408,1751.8182848229353,1753.799095532484,1753.700748598834,1753.5394307990837,1751.8144231707593,1745.347185774679,1742.4320154731172,1830.434496853374,1783.7230631346088
2021-08-20,,1778.2,1772.4045614069391,1777.874187156658,1752.3075652356213,1757.4246624121952,1752.3332294666711,1777.8930509763595,1774.0812583375146,1772.3419581661765,1826.8973189112871,1797.1897775128512
2021-08-23,,1789.8,1790.7201213708847,1789.6708075185368,1778.7111206934455,1779.020382918074,1778.4200735453153,1789.6754107327301,1787.566512993087,1787.1452676034796,1823.0479403140762,1802.1028313080803
