ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-01,26.1,26.097759034155672,25.959645421170418,26.20226174377864,27.793645853547822,27.76850030397088,27.758572341011956,26.0951050536865,26.182225728358667,26.184178846539137,27.29047513804698,26.78757650802856
2021-07-02,26.5,25.95674136554082,25.82235960686321,26.05797239784553,26.12751213435917,26.11005998154356,26.135626070834615,25.984718804931035,26.069745536723907,26.071636974442196,27.26025621399049,26.715211365532223
2021-07-05,26.17,26.022770223705827,26.0466800311085,26.213070904903244,25.95515586451992,25.7952008014529,25.852390645191992,26.024569709333697,26.109652460218737,26.10903627232549,27.286501353478897,26.82848714116481
2021-07-07,26.13,25.88049172030212,25.934322410586166,26.05728043173891,26.021956388478483,25.978988243013134,26.04009029629218,25.87974867946866,25.963834852634445,25.963012441743942,27.180420619838607,26.72955557122824
2021-07-08,25.99,26.079822212502197,26.050091985503613,26.100495382522837,25.883513980069146,25.990726602035213,26.06024998916156,26.08232068331597,26.167561365625446,26.165169221205595,27.15410044893068,26.797573244036926
2021-07-09,26.23,26.057244384330502,26.055129302934763,26.061377243449556,26.07581522980615,26.04307059654119,26.09616775001577,26.053885975082036,26.138985635079965,26.14070045818484,26.983223326844836,26.69709251027342
2021-07-12,26.24,26.085170070386457,26.111714486270742,26.0943619971206,26.058364316218935,26.031929589240292,26.051040502245925,26.085658086058437,26.170995673836472,26.172885824893513,27.262134086174303,26.96434021396849
2021-07-13,26.14,26.204305861541318,26.204632889579596,26.20074165301629,26.084638248449817,26.123491463180983,26.09431985987304,26.20385164066139,26.290038616738393,26.289504734772517,27.18429897398849,26.967029294984872
2021-07-14,26.27,25.938687647804496,25.918045975251626,25.943253699283375,26.202176604345002,26.198628376767473,26.20422586022715,25.93658522599995,26.020656971080985,26.019912003420135,27.31404615828345,26.98695419156507
2021-07-15,26.39,26.15483788033206,26.15915671882441,26.143570603781846,25.94424785989071,25.93796248126122,25.953247183463837,26.159404629349275,26.24502176572289,26.24263231296513,27.342718425729167,27.11957669947853
2021-07-16,25.8,26.110918174897037,26.124284479072866,26.121880043675453,26.150031963133035,26.136227176802088,26.125576570491027,26.107177188966535,26.192398294194145,26.194062945233412,27.258546892118957,27.078989471926068
2021-07-19,25.14,26.451412855025097,26.481433920867254,26.44088058137366,26.112627670272758,26.127123956785084,26.12312783381244,26.4525029832891,26.540427074507164,26.5425498195003,27.657383651134182,27.586158886280042
2021-07-20,25.0,26.210245047561692,26.203318756683323,26.19046958652485,26.44454876881347,26.461075933585203,26.465836248985383,26.204287891525933,26.290342111898042,26.28962814566628,27.5747636631919,27.433926464639043
2021-07-21,25.26,26.13487317339024,26.108240708893224,26.111409631214695,26.215852567255727,26.229499042705438,26.223358589117257,26.13901429291751,26.22431590733609,26.22363782172652,27.59161081811289,27.439898669781318
2021-07-22,25.38,26.007052501830792,25.98754055177274,26.01284712821605,26.1355596421665,26.115282143626942,26.106393155530345,26.00807441609599,26.09225289940608,26.089722410684832,27.78624836686634,27.569680246216276
2021-07-23,25.23,26.200734334584865,26.222958962827672,26.2277812355126,26.00953556457423,25.983516087944505,25.975859218351832,26.2030441521316,26.288632213797737,26.290375461079208,27.876404486157046,27.725052936681827
2021-07-26,25.32,26.238781057186984,26.256970406155798,26.250374989670338,26.196795115487102,26.204694511280444,26.21327497531139,26.23551292836973,26.321372776176617,26.32349086154181,28.160274006889363,27.988137557503265
2021-07-27,24.65,26.152189866587623,26.141113329851994,26.140449500008234,26.238676467913823,26.26148913054992,26.269968344214263,26.15160185944755,26.236769848315017,26.23583778529179,28.132581196217775,27.934140846006475
