,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
Gold 1 step,10.647286821705412,10.718474399953704,10.657626800672924,15.590835931437574,15.624844865080096,15.567102829557562,10.657209372054355,10.79864817176017,10.96645344490531,34.473478395081564,12.152632628837475
Gold 5 step,23.68372093023255,23.62069770027852,23.690653580949405,26.10263806121452,26.074283323528427,26.084715565967556,23.69007729578206,25.275012791370838,26.099473931862306,40.34279480066336,26.157995750608304
Gold 10 step,31.966666666666658,31.682962949721308,31.95800745741157,33.44541545418988,33.26049316570181,33.42427640944702,31.958097893301982,36.108447658433,38.31360432119844,47.86670587449459,39.24482594085617
Silver 1 step,0.2881350736122883,0.2936068634981185,0.29660668509076027,0.40214271688665304,0.40437120557464196,0.4063579723008286,0.28676896827091314,0.28769353448114865,0.2879417892287556,1.494691610595637,0.33588445104513287
Silver 5 step,0.6377672423894897,0.6401211072104529,0.6409066232358741,0.7037589064527232,0.706812681682651,0.708511359238431,0.6375575417169703,0.638902900638076,0.6389202502864973,1.715334609197718,0.9018434607575391
Silver 10 step,0.9502247787189023,0.9538245447055349,0.9393629631661267,1.007638842842526,1.0129212985842815,1.0089476339618226,0.9492138368414986,0.9571602915707759,0.9572624335150705,1.9483519833919374,1.479553735369768
Platinum 1 step,13.460225730617255,13.408387096774186,13.413057362653495,19.778759162408672,19.743761159542203,19.80936162046075,13.407837049971139,13.671182273200376,13.668070424751683,94.09775326195088,15.31157067684511
Platinum 5 step,30.767534988543545,30.32387096774193,30.42000178369579,32.44076175754892,32.163791447305066,32.181591509947374,30.322320429998218,32.5096985628375,32.46095023856129,107.07801968301104,43.44114978896506
Platinum 10 step,40.46792709867101,40.788064516129026,40.84057681504136,42.38899163395377,41.98123248381454,41.98615390043256,40.78822446550248,46.25810583339757,46.419242819469744,121.48895456120817,72.29750497218993
