ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-08-12,,1835.8,1831.5757830835344,1835.2076132740222,1800.231939799912,1800.447601223605,1800.2429365851342,1835.239860324131,1839.7958017187655,1843.348073430003,1871.8279127423627,1867.867391508703
2021-08-13,,1817.2,1816.2664291917174,1817.5517318720883,1836.326097674589,1835.2974176728842,1835.6413924367575,1817.5219507051083,1818.8676442284955,1819.845621463624,1869.7531297742328,1859.8422782066602
2021-08-16,,1822.2,1820.3831610972393,1822.1038145465275,1817.7272794892308,1817.9825747994903,1818.1033593352959,1822.1147994180992,1823.9473682880728,1825.003405614588,1866.2920705238726,1855.6970324781505
2021-08-17,,1814.1,1813.7726936433378,1814.257048277997,1822.723981233849,1822.2840339072952,1822.636420955501,1814.2471592206593,1814.5532621016373,1814.7250671009647,1865.2952650852797,1851.9517040368528
2021-08-18,,1814.5,1814.0038836578503,1814.4922415275485,1814.6233475335553,1814.803764707455,1814.7947915024904,1814.495356485804,1814.657697866618,1814.4683432297086,1859.4505126516983,1846.7231171526205
2021-08-19,,1808.9,1809.3002981171344,1809.0086669892034,1815.0191288059486,1814.9329109548507,1815.0223973040552,1809.0027971188524,1811.3849749526055,1807.703097863192,1856.8764241547774,1842.6110987449586
2021-08-20,,1763.1,1769.7557748417767,1763.9441374856904,1809.401705998565,1809.6194289661628,1809.5173651869072,1763.8996885414765,1753.0093472720105,1746.9329798238632,1851.5802817659405,1823.8072914278998
2021-08-23,,1726.5,1736.750623848401,1726.9337432970858,1763.5986053741858,1764.9747363072124,1764.1546952314861,1726.9128035542728,1707.888279560302,1701.2042584968076,1841.1747636061502,1802.1261674191862
2021-08-24,,1731.7,1740.193953881074,1731.6348968697316,1726.9963803282678,1728.939268882109,1727.467508155186,1731.6438962170475,1716.5149829805569,1712.6529683695458,1837.6262029636014,1801.487328515837
2021-08-25,,1753.3,1754.2117011698429,1753.0389109562789,1732.200313854089,1732.6632056262406,1732.143492898104,1753.05232658398,1739.6407586230098,1738.0645882751596,1830.9761528567187,1803.579002370919
2021-08-26,,1751.8,1752.790960123267,1751.81828482293,1753.799095532484,1753.700748598834,1753.5394307990837,1751.8144231707593,1738.9078821962971,1733.1778112952418,1826.4438912729197,1799.9584861463788
2021-08-27,,1778.2,1768.4837142556623,1777.8741871567572,1752.3075652356213,1757.4246624121952,1752.3332294666711,1777.8930509763595,1770.7539844282467,1767.8437575411156,1823.6040825800653,1806.818360513133
2021-08-30,,1789.8,1791.7187500437888,1789.6708075185602,1778.7111206934455,1779.020382918074,1778.4200735453153,1789.6754107327301,1785.7060809157474,1785.184108058481,1819.8694475365126,1808.1276388019398
2021-08-31,,1787.8,1789.1264844753312,1787.822440418605,1790.311969899453,1790.328905481834,1790.1867229302916,1787.8198177961779,1783.8330420877205,1783.4696987107786,1817.7488580181255,1806.1910088543043
2021-09-01,,1784.4,1781.4534043565939,1784.4380597411614,1788.311706775507,1786.3997955432353,1788.3407449483138,1784.4360826181182,1779.8018746682728,1778.992199936836,1818.5142022940533,1805.9138943439605
2021-09-02,,1783.1,1784.7384573327572,1783.114529642199,1784.9117343134901,1780.5813605274234,1784.9565522866133,1783.1140742358464,1778.840394033264,1777.2827590959237,1816.3476961877009,1804.1547749750698
2021-09-03,,1784.0,1789.049344970883,1783.9899370494225,1783.612762503742,1778.358929358177,1783.6338843046465,1783.9906634371337,1779.924573908193,1778.3733399397906,1813.6667892861585,1802.7064069862645
2021-09-06,,1806.3,1810.8994771488217,1806.052374927259,1784.5285666184554,1779.9298468663028,1784.5247387934498,1806.0664608254453,1805.83560347975,1807.2660240571965,1811.4415522136742,1807.597877118071
2021-09-07,,1808.5,1813.2040833075457,1808.4760295103138,1806.8317289857796,1804.3010599454606,1806.5923590426971,1808.4750508408129,1808.9728295182072,1811.1852009082097,1810.0598784307967,1807.2261815936115
2021-09-08,,1791.0,1792.3044249601426,1791.1932426662675,1809.0179266021005,1808.8246882213584,1808.9997320403202,1791.182437636103,1788.7266911617846,1788.6477315383584,1807.3778980736856,1799.6979646890713
2021-09-09,,1795.2,1796.4566388667217,1795.1524998395616,1791.519031145093,1791.6148381459554,1791.7256323476527,1795.1570791103472,1793.2054643178722,1793.2574927742673,1806.645178094721,1800.1607452013698
2021-09-10,,1819.5,1819.4983424039506,1819.2346500147792,1795.7344141487433,1795.7901021794949,1795.6943455339838,1819.247938280342,1821.474888664314,1825.9440126003697,1804.5798469477595,1805.628333031019
2021-09-13,,1812.2,1812.4723033440816,1812.2844569866636,1820.0324519679073,1820.0933106279272,1819.7548307431878,1812.2772269508575,1814.481398137164,1818.4267464395916,1797.7056500922135,1796.48448200943
2021-09-14,,1818.1,1818.1153910944463,1818.0307887566926,1812.735786591725,1813.4174641163372,1812.829345895858,1818.0352347396906,1820.9519548083788,1824.0048292819263,1794.914113214212,1795.4789075723208
2021-09-15,,1816.0,1815.799504379557,1816.0247300502886,1818.6355640365575,1818.5754276562532,1818.572296539427,1816.0227251405986,1818.8705427679877,1822.224863996923,1792.4651153308275,1792.3770492787035
2021-09-16,,1811.5,1811.3843020803497,1811.5528305661376,1816.532601369483,1816.0244445335761,1816.5644908290956,1811.5503586949358,1813.3552770911251,1815.6252632335415,1790.3529868493827,1788.8302775331204
2021-09-17,,1833.7,1835.4436702768942,1833.4309654593058,1812.0513805564146,1812.483717039443,1812.1137529421158,1833.4452714521392,1839.7097155583294,1843.3478317612485,1787.7909275811664,1792.8996160545405
