ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-02,1087.7,1077.49294795418,1080.9,1081.1757858026542,1070.894038751121,1072.8907960892575,1072.9684610274433,1080.8999998807908,1078.2191400774152,1077.8244223688,1182.6030868171158,1089.363873757608
2021-07-05,1101.9,1083.7046661180502,1087.7,1087.9357204763912,1077.6009241057056,1080.8920878638357,1081.1677549339777,1087.699999898672,1085.4287151245192,1085.6618184199085,1187.8841141115568,1100.5183448090424
2021-07-06,1084.0,1098.3398733759445,1101.9,1102.3971888680849,1083.946478878573,1087.6973983586154,1087.9338330386026,1101.8999997884036,1100.3393215224835,1098.1574357454608,1187.0961622949314,1110.7598499235683
2021-07-07,1081.9,1081.3530302151664,1084.0,1083.3904140247084,1098.5996660991232,1101.8902978908125,1102.371905540178,1084.0000002667307,1081.7355407256819,1082.6318729101424,1189.662922741066,1092.1808927853613
2021-07-08,1074.5,1080.4857507017064,1081.9,1081.8282790813576,1081.421901621549,1083.9886683856605,1083.3755838179702,1081.9000000312926,1079.6426244323873,1080.9474176905826,1183.838384637966,1088.090960759277
2021-07-09,1095.7,1074.4228516320572,1074.5,1074.2468525089744,1080.4172262160578,1081.8845528331472,1081.811017747577,1074.5000001102685,1072.0210069200953,1071.6576347642197,1184.9160914625043,1083.6493558715867
2021-07-11,1096.0,1097.3352691404352,1095.7,1096.41290431981,1074.6544850393768,1074.4976067049208,1074.2473364900052,1095.6999996840955,1094.23997924267,1094.1205586421015,1191.2246956604379,1109.209135812631
2021-07-12,1123.0,1098.81541494827,1096.0,1096.0100786640883,1097.377387230293,1095.698124388346,1096.4086964797084,1095.9999999955296,1094.6156864543457,1092.3830002715893,1189.5409987842565,1104.2985381984176
2021-07-13,1111.2,1126.9752083197056,1123.0,1123.9078834021334,1099.0997984232154,1096.0103328848618,1096.018623217428,1122.9999995976686,1122.8395005333139,1123.7827251205374,1189.9059958309738,1132.3017841670119
2021-07-14,1128.1,1114.8105496747144,1111.2,1110.8179927194249,1126.6815660162222,1123.0072524832656,1123.87926346507,1111.2000001758338,1110.534703668105,1111.7043046342912,1194.1714322841594,1119.6745709662584
2021-07-15,1137.7,1125.4872794912508,1128.1,1128.6345403554365,1109.41039822005,1111.2132556743618,1110.8379862278014,1128.0999997481701,1128.1946411517233,1127.690864109072,1193.1650014183333,1133.1543796824826
2021-07-16,1108.5,1136.0807708342245,1137.7,1138.0090041171309,1126.7634994358937,1128.1176335442515,1128.659289886397,1137.699999856949,1138.2099403237414,1137.649726960987,1194.5265641984145,1144.9335572156035
2021-07-18,1104.2,1108.6751014225747,1108.5,1107.5902418974813,1140.023567178668,1137.7009840899539,1137.9980233838885,1108.500000435114,1107.7190319761555,1105.6146487167975,1203.9012853534036,1122.6429803030117
2021-07-19,1071.4,1102.595495094552,1104.2,1104.0644820949358,1108.7519424764357,1108.4997649960194,1107.5776649464876,1104.200000064075,1103.2681488122432,1104.1635564886474,1202.6053812242478,1113.5857920512012
