Date,Price
10/23/2022,941.45
10/21/2022,933.9
10/20/2022,915.1
10/19/2022,881.1
10/18/2022,907.3
10/17/2022,913.6
10/16/2022,903.65
10/14/2022,894.9
10/13/2022,896.4
10/12/2022,881
10/11/2022,899.1
10/10/2022,895.8
10/09/2022,914.7
10/07/2022,917.9
10/06/2022,921.8
10/05/2022,914.6
10/04/2022,933.7
10/03/2022,900.1
10/02/2022,861
09/30/2022,860.9
09/29/2022,861.5
09/28/2022,865.4
09/27/2022,839.7
09/26/2022,844.9
09/25/2022,857.95
09/23/2022,856.5
09/22/2022,899
09/21/2022,911.7
09/20/2022,914.5
09/19/2022,912.6
09/18/2022,908.25
09/16/2022,896.1
09/15/2022,902.2
09/14/2022,904.5
09/13/2022,883.4
09/12/2022,904.2
09/11/2022,873.75
09/09/2022,877.5
09/08/2022,866.5
09/07/2022,848.6
09/06/2022,836.7
09/05/2022,831.85
09/04/2022,815.45
09/02/2022,822.3
09/01/2022,810.1
08/31/2022,831.6
08/30/2022,836.6
08/29/2022,855.8
08/28/2022,847.75
08/26/2022,859.7
08/25/2022,878.1
08/24/2022,870.6
08/23/2022,877.7
08/22/2022,869.4
08/21/2022,885.65
08/19/2022,889.4
08/18/2022,905.9
08/17/2022,920
08/16/2022,932
08/15/2022,935.1
08/14/2022,960.6
08/12/2022,960.9
08/11/2022,960.7
08/10/2022,947.6
08/09/2022,934.2
08/08/2022,939.9
08/07/2022,926.8
08/05/2022,926.1
08/04/2022,926
08/03/2022,890.1
08/02/2022,906.4
08/01/2022,903.5
07/31/2022,885.7
07/29/2022,891.6
07/28/2022,878.6
07/27/2022,877.2
07/26/2022,864.4
07/25/2022,869.3
07/24/2022,859.5
07/22/2022,867.2
07/21/2022,858.7
07/20/2022,846.5
07/19/2022,858.9
07/18/2022,856
07/17/2022,835.4
07/15/2022,830.9
07/14/2022,817.3
07/13/2022,837.8
07/12/2022,828.1
07/11/2022,860.7
07/10/2022,883.05
07/08/2022,882.8
07/07/2022,865.8
07/06/2022,840.9
07/05/2022,850.7
07/04/2022,875.1
07/03/2022,872
07/01/2022,871.3
06/30/2022,895.3
06/29/2022,909.9
06/28/2022,908.3
06/27/2022,900.3
06/26/2022,904.8
06/24/2022,903.3
06/23/2022,903.7
06/22/2022,926.1
06/21/2022,939.4
06/20/2022,930.3
06/19/2022,932.75
06/17/2022,930.8
06/16/2022,951.3
06/15/2022,925.5
06/14/2022,913.2
06/13/2022,935.4
06/12/2022,970
06/10/2022,972.9
06/09/2022,977.9
06/08/2022,"1,013.60"
06/07/2022,"1,014.90"
06/06/2022,"1,031.50"
06/05/2022,"1,018.90"
06/03/2022,"1,017.80"
06/02/2022,"1,029.20"
06/01/2022,997.7
05/31/2022,969.3
05/30/2022,948.2
05/27/2022,945.1
05/26/2022,938.1
05/25/2022,930.8
05/24/2022,944.4
05/23/2022,951.2
05/22/2022,952.3
05/20/2022,940.9
05/19/2022,953.5
05/18/2022,925
05/17/2022,944
05/16/2022,926.9
05/15/2022,935.3
05/13/2022,931.5
05/12/2022,931.6
05/11/2022,988.6
05/10/2022,946.2
05/09/2022,937.6
05/08/2022,943.65
05/06/2022,956.2
05/05/2022,973.4
05/04/2022,979.6
05/03/2022,959.2
05/02/2022,933.8
05/01/2022,930.45
04/29/2022,940.5
04/28/2022,913.3
04/27/2022,910.4
04/26/2022,912.1
04/25/2022,905
04/24/2022,925.5
04/22/2022,927.4
04/21/2022,967.8
04/20/2022,987
04/19/2022,988.7
04/18/2022,"1,020.50"
04/17/2022,"1,000.15"
04/15/2022,991.1
04/14/2022,994.2
04/13/2022,989.6
04/12/2022,972.4
04/11/2022,977.8
04/10/2022,978.3
04/08/2022,975.6
04/07/2022,958
04/06/2022,953.1
04/05/2022,973.1
04/04/2022,991
04/03/2022,989
04/01/2022,988.6
03/31/2022,995.8
03/30/2022,"1,001.20"
03/29/2022,977
03/28/2022,993.8
03/27/2022,"1,004.40"
03/25/2022,"1,010.70"
03/24/2022,"1,033.70"
03/23/2022,"1,023.30"
03/22/2022,"1,026.60"
03/21/2022,"1,045.30"
03/20/2022,"1,030.30"
03/18/2022,"1,036.10"
03/17/2022,"1,030.80"
03/16/2022,"1,007.80"
03/15/2022,"1,002.60"
03/14/2022,"1,050.80"
03/13/2022,"1,077.10"
03/11/2022,"1,086.10"
03/10/2022,"1,092.80"
03/09/2022,"1,105.80"
03/08/2022,"1,151.40"
03/07/2022,"1,116.00"
03/06/2022,"1,151.70"
03/04/2022,"1,116.60"
03/03/2022,"1,080.90"
03/02/2022,"1,068.20"
03/01/2022,"1,052.90"
02/28/2022,"1,039.80"
02/27/2022,"1,062.55"
02/25/2022,"1,051.10"
02/24/2022,"1,062.40"
02/23/2022,"1,092.40"
02/22/2022,"1,086.20"
02/21/2022,"1,086.55"
02/20/2022,"1,079.20"
02/18/2022,"1,077.40"
02/17/2022,"1,091.90"
02/16/2022,"1,062.90"
02/15/2022,"1,020.20"
02/14/2022,"1,028.70"
02/13/2022,"1,038.25"
02/11/2022,"1,019.60"
02/10/2022,"1,043.00"
02/09/2022,"1,038.10"
02/08/2022,"1,036.90"
02/07/2022,"1,020.70"
02/06/2022,"1,027.40"
02/04/2022,"1,024.60"
02/03/2022,"1,030.30"
02/02/2022,"1,043.20"
02/01/2022,"1,022.60"
01/31/2022,"1,019.90"
01/30/2022,"1,009.10"
01/28/2022,"1,006.40"
01/27/2022,"1,021.80"
01/26/2022,"1,045.90"
01/25/2022,"1,025.50"
01/24/2022,"1,020.30"
01/23/2022,"1,035.10"
01/21/2022,"1,035.10"
01/20/2022,"1,050.80"
01/19/2022,"1,028.40"
01/18/2022,979.5
01/17/2022,970.9
01/16/2022,966.85
01/14/2022,964.6
01/13/2022,972.2
01/12/2022,980.1
01/11/2022,973.2
01/10/2022,933.6
01/09/2022,954.05
01/07/2022,956.5
01/06/2022,960.7
01/05/2022,"1,001.90"
01/04/2022,971.2
01/03/2022,954
01/02/2022,970.85
12/31/2021,966.2
12/30/2021,964.6
12/29/2021,969.7
12/28/2021,979.8
12/27/2021,971
12/26/2021,966.85
12/23/2021,972.2
12/22/2021,963.7
12/21/2021,924.4
12/20/2021,922.6
12/19/2021,921.8
12/17/2021,932.9
12/16/2021,927.1
12/15/2021,894.1
12/14/2021,911
12/13/2021,924.9
12/12/2021,940.45
12/10/2021,935.1
12/09/2021,938.6
12/08/2021,957
12/07/2021,951
12/06/2021,937.4
12/05/2021,934.65
12/03/2021,927.1
12/02/2021,934
12/01/2021,936.6
11/30/2021,929.2
11/29/2021,966.4
11/28/2021,978.4
11/26/2021,954.9
11/25/2021,990.9
11/24/2021,977.4
11/23/2021,966.1
11/22/2021,"1,016.70"
11/21/2021,"1,031.60"
11/19/2021,"1,037.60"
11/18/2021,"1,057.50"
11/17/2021,"1,070.10"
11/16/2021,"1,075.60"
11/15/2021,"1,097.80"
11/14/2021,"1,091.80"
11/12/2021,"1,090.10"
11/11/2021,"1,095.50"
11/10/2021,"1,077.90"
11/09/2021,"1,062.40"
11/08/2021,"1,061.10"
11/07/2021,"1,037.65"
11/05/2021,"1,036.90"
11/04/2021,"1,030.30"
11/03/2021,"1,023.30"
11/02/2021,"1,040.30"
11/01/2021,"1,068.10"
10/31/2021,"1,021.50"
10/29/2021,"1,021.70"
10/28/2021,"1,025.30"
10/27/2021,"1,019.30"
10/26/2021,"1,032.90"
10/25/2021,"1,063.80"
10/24/2021,"1,046.60"
10/22/2021,"1,052.10"
10/21/2021,"1,049.70"
10/20/2021,"1,052.30"
10/19/2021,"1,047.10"
10/18/2021,"1,037.90"
10/17/2021,"1,058.35"
10/15/2021,"1,058.90"
10/14/2021,"1,052.30"
10/13/2021,"1,024.20"
10/12/2021,"1,011.70"
10/11/2021,"1,006.90"
10/10/2021,"1,021.50"
10/08/2021,"1,028.20"
10/07/2021,985.3
10/06/2021,977.2
10/05/2021,959.8
10/04/2021,961.6
10/03/2021,978.5
10/01/2021,973.6
09/30/2021,962.4
09/29/2021,947
09/28/2021,961.3
09/27/2021,977.8
09/26/2021,979.8
09/24/2021,976.3
09/23/2021,995.4
09/22/2021,999.8
09/21/2021,950.8
09/20/2021,899.4
09/19/2021,932.9
09/17/2021,932.6
09/16/2021,925.6
09/15/2021,932.9
09/14/2021,941.1
09/13/2021,960.2
09/12/2021,956.1
09/10/2021,959.6
09/09/2021,977.5
09/08/2021,979.1
09/07/2021,998.9
09/06/2021,"1,018.30"
09/05/2021,"1,019.70"
09/03/2021,"1,024.50"
09/02/2021,996.9
09/01/2021,"1,002.40"
08/31/2021,"1,016.90"
08/30/2021,"1,004.90"
08/29/2021,"1,009.80"
08/27/2021,"1,007.40"
08/26/2021,978.5
08/25/2021,996.5
08/24/2021,"1,013.00"
08/23/2021,"1,015.90"
08/22/2021,988.45
08/20/2021,995.7
08/19/2021,972.8
08/18/2021,998.6
08/17/2021,996.2
08/16/2021,"1,023.10"
08/15/2021,"1,023.55"
08/13/2021,"1,028.20"
