,Date,Price
228,2017-11-20,16.84 
229,2017-11-21,16.96 
230,2017-11-22,17.11 
231,2017-11-23,16.99 
232,2017-11-24,17.02 
233,2017-11-27,17.02 
234,2017-11-28,16.82 
235,2017-11-29,16.56 
236,2017-11-30,16.47 
237,2017-12-01,16.39 
238,2017-12-04,16.37 
239,2017-12-05,16.07 
240,2017-12-06,15.96 
241,2017-12-07,15.80 
242,2017-12-08,15.82 
243,2017-12-11,15.79 
244,2017-12-12,15.67 
245,2017-12-13,15.87 
246,2017-12-14,15.93 
247,2017-12-15,16.06 
248,2017-12-18,16.21 
249,2017-12-19,16.15 
250,2017-12-20,16.28 
251,2017-12-21,16.24 
252,2017-12-22,16.44 
253,2017-12-26,16.60 
254,2017-12-27,16.76 
255,2017-12-28,16.92 
256,2017-12-29,17.15 
257,2018-01-02,17.21 
258,2018-01-03,17.27 
259,2018-01-04,17.27 
260,2018-01-05,17.29 
261,2018-01-08,17.14 
262,2018-01-09,17.01 
263,2018-01-10,17.04 
264,2018-01-11,16.97 
265,2018-01-12,17.14 
266,2018-01-15,17.19 
267,2018-01-16,17.19 
268,2018-01-17,17.17 
269,2018-01-18,16.95 
270,2018-01-19,17.04 
271,2018-01-22,16.99 
272,2018-01-23,16.91 
273,2018-01-24,17.49 
274,2018-01-25,17.62 
275,2018-01-26,17.44 
276,2018-01-29,17.13 
277,2018-01-30,17.06 
278,2018-01-31,17.24 
279,2018-02-01,17.16 
280,2018-02-02,16.71 
281,2018-02-05,16.67 
282,2018-02-06,16.58 
283,2018-02-07,16.24 
284,2018-02-08,16.34 
285,2018-02-09,16.14 
286,2018-02-12,16.57 
287,2018-02-13,16.53 
288,2018-02-14,16.88 
289,2018-02-15,16.80 
290,2018-02-16,16.71 
291,2018-02-19,16.44 
292,2018-02-20,16.48 
293,2018-02-21,16.62 
294,2018-02-22,16.59 
295,2018-02-23,16.48 
296,2018-02-26,16.55 
297,2018-02-27,16.43 
298,2018-02-28,16.41 
299,2018-03-01,16.28 
300,2018-03-02,16.47 
301,2018-03-05,16.41 
302,2018-03-06,16.78 
303,2018-03-07,16.49 
304,2018-03-08,16.50 
305,2018-03-09,16.61 
306,2018-03-12,16.54 
307,2018-03-13,16.63 
308,2018-03-14,16.54 
309,2018-03-15,16.42 
310,2018-03-16,16.27 
311,2018-03-19,16.33 
312,2018-03-20,16.19 
313,2018-03-21,16.42 
314,2018-03-22,16.39 
315,2018-03-23,16.58 
316,2018-03-26,16.68 
317,2018-03-27,16.54 
318,2018-03-28,16.25 
319,2018-03-29,16.27 
320,2018-04-02,16.67 
321,2018-04-03,16.39 
322,2018-04-04,16.25 
323,2018-04-05,16.36 
324,2018-04-06,16.36 
325,2018-04-09,16.53 
326,2018-04-10,16.60 
327,2018-04-11,16.77 
328,2018-04-12,16.47 
329,2018-04-13,16.66 
330,2018-04-16,16.68 
331,2018-04-17,16.79 
332,2018-04-18,17.25 
333,2018-04-19,17.24 
334,2018-04-20,17.16 
335,2018-04-23,16.59 
336,2018-04-24,16.70 
337,2018-04-25,16.50 
338,2018-04-26,16.49 
339,2018-04-27,16.50 
340,2018-04-30,16.40 
341,2018-05-01,16.13 
342,2018-05-02,16.38 
343,2018-05-03,16.45 
344,2018-05-04,16.52 
345,2018-05-07,16.50 
346,2018-05-08,16.47 
347,2018-05-09,16.54 
348,2018-05-10,16.76 
349,2018-05-11,16.75 
350,2018-05-14,16.65 
351,2018-05-15,16.27 
352,2018-05-16,16.37 
353,2018-05-17,16.48 
354,2018-05-18,16.46 
355,2018-05-21,16.52 
356,2018-05-22,16.58 
357,2018-05-23,16.41 
358,2018-05-24,16.69 
359,2018-05-25,16.55 
360,2018-05-28,16.37 
361,2018-05-29,16.37 
362,2018-05-30,16.54 
363,2018-05-31,16.46 
364,2018-06-01,16.44 
365,2018-06-04,16.43 
366,2018-06-05,16.54 
367,2018-06-06,16.69 
368,2018-06-07,16.82 
369,2018-06-08,16.74 
370,2018-06-11,16.95 
371,2018-06-12,16.89 
372,2018-06-13,16.99 
373,2018-06-14,17.26 
374,2018-06-15,16.48 
375,2018-06-18,16.44 
376,2018-06-19,16.32 
377,2018-06-20,16.31 
378,2018-06-21,16.33 
379,2018-06-22,16.46 
380,2018-06-25,16.33 
381,2018-06-26,16.25 
382,2018-06-27,16.15 
383,2018-06-28,16.04 
384,2018-06-29,16.20 
385,2018-07-02,15.84 
386,2018-07-03,16.04 
387,2018-07-04,16.10 
388,2018-07-05,16.10 
389,2018-07-06,16.07 
390,2018-07-09,16.14 
391,2018-07-10,16.09 
392,2018-07-11,15.82 
393,2018-07-12,15.98 
394,2018-07-13,15.82 
395,2018-07-16,15.81 
396,2018-07-17,15.62 
397,2018-07-18,15.57 
398,2018-07-19,15.40 
399,2018-07-20,15.55 
400,2018-07-23,15.43 
401,2018-07-24,15.52 
402,2018-07-25,15.59 
403,2018-07-26,15.50 
404,2018-07-27,15.49 
405,2018-07-30,15.54 
406,2018-07-31,15.56 
407,2018-08-01,15.45 
408,2018-08-02,15.39 
409,2018-08-03,15.46 
410,2018-08-06,15.35 
411,2018-08-07,15.37 
412,2018-08-08,15.43 
413,2018-08-09,15.46 
414,2018-08-10,15.30 
415,2018-08-13,14.98 
416,2018-08-14,15.05 
417,2018-08-15,14.45 
418,2018-08-16,14.71 
419,2018-08-17,14.63 
420,2018-08-20,14.67 
421,2018-08-21,14.77 
422,2018-08-22,14.75 
423,2018-08-23,14.54 
424,2018-08-24,14.79 
425,2018-08-27,14.86 
426,2018-08-28,14.77 
427,2018-08-29,14.70 
428,2018-08-30,14.59 
429,2018-08-31,14.56 
430,2018-09-03,14.18 
431,2018-09-04,14.15 
432,2018-09-05,14.22 
433,2018-09-06,14.18 
434,2018-09-07,14.17 
435,2018-09-10,14.18 
436,2018-09-11,14.15 
437,2018-09-12,14.29 
438,2018-09-13,14.24 
439,2018-09-14,14.14 
440,2018-09-17,14.22 
441,2018-09-18,14.19 
442,2018-09-19,14.28 
443,2018-09-20,14.31 
444,2018-09-21,14.36 
445,2018-09-24,14.34 
446,2018-09-25,14.49 
447,2018-09-26,14.40 
448,2018-09-27,14.29 
449,2018-09-28,14.71 
450,2018-10-01,14.51 
451,2018-10-02,14.69 
452,2018-10-03,14.67 
453,2018-10-04,14.59 
454,2018-10-05,14.65 
455,2018-10-08,14.33 
456,2018-10-09,14.40 
457,2018-10-10,14.33 
458,2018-10-11,14.61 
459,2018-10-12,14.64 
460,2018-10-15,14.73 
461,2018-10-16,14.70 
462,2018-10-17,14.66 
463,2018-10-18,14.60 
464,2018-10-19,14.65 
465,2018-10-22,14.59 
466,2018-10-23,14.79 
467,2018-10-24,14.68 
468,2018-10-25,14.63 
469,2018-10-26,14.70 
470,2018-10-29,14.44 
471,2018-10-30,14.46 
472,2018-10-31,14.28 
473,2018-11-01,14.78 
474,2018-11-02,14.76 
475,2018-11-05,14.65 
476,2018-11-06,14.50 
477,2018-11-07,14.57 
478,2018-11-08,14.42 
479,2018-11-09,14.14 
480,2018-11-12,14.01 
481,2018-11-13,13.98 
482,2018-11-14,14.08 
483,2018-11-15,14.26 
484,2018-11-16,14.38 
485,2018-11-19,14.40 
486,2018-11-20,14.27 
487,2018-11-21,14.50 
488,2018-11-22,14.24 
489,2018-11-23,14.29 
490,2018-11-26,14.21 
491,2018-11-27,14.08 
492,2018-11-28,14.33 
493,2018-11-29,14.40 
494,2018-11-30,14.22 
495,2018-12-03,14.50 
496,2018-12-04,14.64 
497,2018-12-05,14.58 
498,2018-12-06,14.51 
499,2018-12-07,14.70 
500,2018-12-10,14.61 
501,2018-12-11,14.63 
502,2018-12-12,14.85 
503,2018-12-13,14.86 
504,2018-12-14,14.64 
505,2018-12-17,14.76 
506,2018-12-18,14.70 
507,2018-12-19,14.82 
508,2018-12-20,14.87 
509,2018-12-21,14.70 
510,2018-12-24,14.82 
511,2018-12-26,15.12 
512,2018-12-27,15.31 
513,2018-12-28,15.44 
514,2018-12-31,15.54 
515,2019-01-02,15.65 
516,2019-01-03,15.80 
517,2019-01-04,15.79 
518,2019-01-07,15.76 
519,2019-01-08,15.71 
520,2019-01-09,15.74 
521,2019-01-10,15.64 
522,2019-01-11,15.66 
523,2019-01-14,15.69 
524,2019-01-15,15.62 
525,2019-01-16,15.64 
526,2019-01-17,15.54 
527,2019-01-18,15.40 
528,2019-01-21,15.33 
529,2019-01-22,15.33 
530,2019-01-23,15.38 
531,2019-01-24,15.30 
532,2019-01-25,15.70 
533,2019-01-28,15.77 
534,2019-01-29,15.84 
535,2019-01-30,15.93 
536,2019-01-31,16.07 
537,2019-02-01,15.93 
538,2019-02-04,15.89 
539,2019-02-05,15.84 
540,2019-02-06,15.70 
541,2019-02-07,15.71 
542,2019-02-08,15.81 
543,2019-02-11,15.74 
544,2019-02-12,15.69 
545,2019-02-13,15.65 
546,2019-02-14,15.53 
547,2019-02-15,15.74 
548,2019-02-18,15.97 
549,2019-02-19,16.01 
550,2019-02-20,16.18 
551,2019-02-21,15.80 
552,2019-02-22,15.91 
553,2019-02-25,15.83 
554,2019-02-26,15.83 
555,2019-02-27,15.77 
556,2019-02-28,15.63 
557,2019-03-01,15.26 
558,2019-03-04,15.11 
559,2019-03-05,15.11 
560,2019-03-06,15.09 
561,2019-03-07,15.04 
562,2019-03-08,15.35 
563,2019-03-11,15.27 
564,2019-03-12,15.41 
565,2019-03-13,15.46 
566,2019-03-14,15.17 
567,2019-03-15,15.32 
568,2019-03-18,15.32 
569,2019-03-19,15.37 
570,2019-03-20,15.32 
571,2019-03-21,15.44 
572,2019-03-22,15.41 
573,2019-03-25,15.57 
574,2019-03-26,15.43 
575,2019-03-27,15.30 
576,2019-03-28,14.97 
577,2019-03-29,15.11 
578,2019-04-01,15.10 
579,2019-04-02,15.06 
580,2019-04-03,15.10 
581,2019-04-04,15.08 
582,2019-04-05,15.09 
583,2019-04-08,15.22 
584,2019-04-09,15.21 
585,2019-04-10,15.24 
586,2019-04-11,14.87 
587,2019-04-12,14.96 
588,2019-04-15,14.98 
589,2019-04-16,14.92 
590,2019-04-17,14.94 
591,2019-04-18,14.96 
592,2019-04-22,14.98 
593,2019-04-23,14.79 
594,2019-04-24,14.92 
595,2019-04-25,14.88 
596,2019-04-26,15.09 
597,2019-04-29,14.93 
598,2019-04-30,14.98 
599,2019-05-01,14.73 
600,2019-05-02,14.62 
601,2019-05-03,14.98 
602,2019-05-06,14.93 
603,2019-05-07,14.93 
604,2019-05-08,14.86 
605,2019-05-09,14.77 
606,2019-05-10,14.79 
607,2019-05-13,14.78 
608,2019-05-14,14.81 
609,2019-05-15,14.81 
610,2019-05-16,14.54 
611,2019-05-17,14.39 
612,2019-05-20,14.45 
613,2019-05-21,14.41 
614,2019-05-22,14.45 
615,2019-05-23,14.61 
616,2019-05-24,14.56 
617,2019-05-27,14.32 
618,2019-05-28,14.32 
619,2019-05-29,14.41 
620,2019-05-30,14.49 
621,2019-05-31,14.57 
622,2019-06-03,14.74 
623,2019-06-04,14.77 
624,2019-06-05,14.79 
625,2019-06-06,14.91 
626,2019-06-07,15.03 
627,2019-06-10,14.64 
628,2019-06-11,14.74 
629,2019-06-12,14.75 
630,2019-06-13,14.89 
631,2019-06-14,14.80 
632,2019-06-17,14.83 
633,2019-06-18,14.99 
634,2019-06-19,14.96 
635,2019-06-20,15.49 
636,2019-06-21,15.29 
637,2019-06-24,15.38 
638,2019-06-25,15.30 
639,2019-06-26,15.29 
640,2019-06-27,15.29 
641,2019-06-28,15.34 
642,2019-07-01,15.19 
643,2019-07-02,15.24 
644,2019-07-03,15.34 
645,2019-07-04,15.00 
646,2019-07-05,15.00 
647,2019-07-08,15.05 
648,2019-07-09,15.15 
649,2019-07-10,15.23 
650,2019-07-11,15.15 
651,2019-07-12,15.24 
652,2019-07-15,15.37 
653,2019-07-16,15.68 
654,2019-07-17,15.97 
655,2019-07-18,16.20 
656,2019-07-19,16.20 
657,2019-07-22,16.41 
658,2019-07-23,16.48 
659,2019-07-24,16.63 
660,2019-07-25,16.41 
661,2019-07-26,16.40 
662,2019-07-29,16.44 
663,2019-07-30,16.56 
664,2019-07-31,16.41 
665,2019-08-01,16.18 
666,2019-08-02,16.27 
667,2019-08-05,16.39 
668,2019-08-06,16.45 
669,2019-08-07,17.20 
670,2019-08-08,16.94 
671,2019-08-09,16.93 
672,2019-08-12,17.07 
673,2019-08-13,16.99 
674,2019-08-14,17.28 
675,2019-08-15,17.21 
676,2019-08-16,17.12 
677,2019-08-19,16.94 
678,2019-08-20,17.15 
679,2019-08-21,17.15 
680,2019-08-22,17.04 
681,2019-08-23,17.41 
682,2019-08-26,17.64 
683,2019-08-27,18.15 
684,2019-08-28,18.32 
685,2019-08-29,18.32 
686,2019-08-30,18.34 
687,2019-09-02,19.24 
688,2019-09-03,19.19 
689,2019-09-04,19.55 
690,2019-09-05,18.81 
691,2019-09-06,18.12 
692,2019-09-09,18.17 
693,2019-09-10,18.19 
694,2019-09-11,18.17 
695,2019-09-12,18.18 
696,2019-09-13,17.57 
697,2019-09-16,18.03 
698,2019-09-17,18.14 
699,2019-09-18,17.92 
700,2019-09-19,17.88 
701,2019-09-20,17.85 
702,2019-09-23,18.71 
703,2019-09-24,18.63 
704,2019-09-25,18.07 
705,2019-09-26,17.91 
706,2019-09-27,17.65 
707,2019-09-30,17.00 
708,2019-10-01,17.30 
709,2019-10-02,17.68 
710,2019-10-03,17.68 
711,2019-10-04,17.63 
712,2019-10-07,17.54 
713,2019-10-08,17.70 
714,2019-10-09,17.81 
715,2019-10-10,17.60 
716,2019-10-11,17.54 
717,2019-10-14,17.71 
718,2019-10-15,17.38 
719,2019-10-16,17.43 
720,2019-10-17,17.61 
721,2019-10-18,17.58 
722,2019-10-21,17.60 
723,2019-10-22,17.50 
724,2019-10-23,17.58 
725,2019-10-24,17.80 
